년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
20-Oct,제주시,조천읍,체인화 편의점,37370,373183470,25232483.07,2021-07-28
20-Oct,제주시,추자면,일반유흥 주점업,11,1830000,2018650.707,2021-07-28
20-Oct,제주시,추자면,차량용 가스 충전업,23,2560000,2018650.707,2021-07-28
20-Oct,제주시,한경면,비알콜 음료점업,267,6537800,8621878.215,2021-07-28
20-Oct,제주시,한경면,내항 여객 운송업,137,6405500,8621878.215,2021-07-28
20-Oct,제주시,한경면,기타음식료품위주종합소매업,3624,139523090,8621878.215,2021-07-28
20-Oct,제주시,한경면,기타 주점업,36,6440000,8621878.215,2021-07-28
20-Oct,제주시,한경면,기타 외국식 음식점업,166,5672500,8621878.215,2021-07-28
20-Oct,제주시,한경면,기타 수상오락 서비스업,58,894700,8621878.215,2021-07-28
20-Oct,제주시,추자면,중식 음식점업,96,4040000,2018650.707,2021-07-28
20-Oct,제주시,한경면,그외 기타 종합 소매업,3,674900,8621878.215,2021-07-28
20-Oct,제주시,한경면,관광 민예품 및 선물용품 소매업,24,918000,8621878.215,2021-07-28
20-Oct,제주시,한경면,과실 및 채소 소매업,487,17791500,8621878.215,2021-07-28
20-Oct,제주시,한경면,골프장 운영업,1929,457809750,8621878.215,2021-07-28
20-Oct,제주시,추자면,한식 음식점업,894,60042100,2018650.707,2021-07-28
20-Oct,제주시,추자면,체인화 편의점,1877,28783060,2018650.707,2021-07-28
20-Oct,제주시,추자면,차량용 주유소 운영업,166,20284080,2018650.707,2021-07-28
20-Oct,제주시,한경면,그외 기타 스포츠시설 운영업,13,6000000,8621878.215,2021-07-28
20-Oct,제주시,조천읍,차량용 주유소 운영업,9473,448359072,25232483.07,2021-07-28
20-Oct,제주시,조천읍,차량용 가스 충전업,240,34084450,25232483.07,2021-07-28
20-Oct,제주시,조천읍,중식 음식점업,2142,62936546,25232483.07,2021-07-28
20-Oct,제주시,조천읍,그외 기타 스포츠시설 운영업,83,7260000,25232483.07,2021-07-28
20-Oct,제주시,조천읍,관광 민예품 및 선물용품 소매업,1362,42701500,25232483.07,2021-07-28
20-Oct,제주시,조천읍,과실 및 채소 소매업,247,31344800,25232483.07,2021-07-28
