,읍면동명,이용자수,이용금액,1인당 이용금액,계절
14,성산읍,11147,865740486,77665.78326006998,여름
9,봉개동,246,18315000,74451.21951219512,여름
8,동홍동,382,27151841,71078.11780104712,여름
39,한경면,171,11210540,65558.7134502924,여름
1,구좌읍,2325,148939593,64060.04,여름
5,대정읍,1656,97245033,58722.84601449275,여름
30,일도1동,963,55365200,57492.41952232606,여름
31,일도2동,697,37033600,53132.85509325682,여름
17,안덕면,11598,525997941,45352.46947749612,여름
26,우도면,629,20265550,32218.680445151032,여름
21,예래동,19486,8619749348,442356.01703787333,가을
11,삼도2동,7615,2185310005,286974.39330269204,가을
16,아라동,1766,482484101,273207.305209513,가을
24,용담1동,561,151488617,270033.1853832442,가을
19,연동,27989,7371177487,263359.8016006288,가을
27,이도1동,4291,1084499158,252738.09321836403,가을
29,이호동,457,110412149,241602.07658643325,가을
41,화북동,5,1180000,236000.0,가을
34,중문동,6427,1486798230,231336.27353353042,가을
3,노형동,3808,863906488,226866.19957983194,가을
39,한경면,68,14454900,212572.0588235294,가을
28,이도2동,3612,686430578,190041.68826135105,가을
4,대륜동,4562,853952165,187188.1115738711,가을
7,도두동,999,186897360,187084.44444444444,가을
0,건입동,4854,811551846,167192.3868974042,가을
13,서홍동,444,69482288,156491.63963963964,가을
33,조천읍,3927,596182785,151816.34453781514,가을
42,효돈동,50,7359000,147180.0,가을
22,오라동,825,120074085,145544.34545454546,가을
6,대천동,3742,524346718,140124.7242116515,가을
12,삼양동,287,40196925,140058.97212543554,가을
2,남원읍,1410,185056882,131246.01560283688,가을
20,영천동,4405,538855793,122328.21634506244,가을
15,송산동,13731,1655556749,120570.73403248125,가을
36,천지동,9832,1172531047,119256.61584621643,가을
37,추자면,397,47343000,119251.88916876575,가을
35,중앙동,9388,1103048759,117495.60705155518,가을
32,정방동,9388,1103048759,117495.60705155518,가을
10,삼도1동,2957,329670245,111488.07744335475,가을
25,용담2동,1224,136080138,111176.58333333333,가을
18,애월읍,10609,1149008605,108305.08106324819,가을
38,표선면,1361,127240701,93490.5958853784,가을
40,한림읍,4827,443315522,91840.79593950693,가을
8,동홍동,330,26042837,78917.68787878788,가을
14,성산읍,7314,562428399,76897.51148482363,가을
23,외도동,3513,253620607,72194.878166809,가을
1,구좌읍,1950,129791696,66559.84410256411,가을
30,일도1동,1006,64540700,64155.765407554674,가을
31,일도2동,751,47341300,63037.683089214384,가을
5,대정읍,1732,94413090,54511.02193995381,가을
26,우도면,423,22080300,52199.29078014184,가을
17,안덕면,9164,424150933,46284.47544740288,가을
9,봉개동,210,7229000,34423.80952380953,가을
21,예래동,21639,8184389229,378224.00429779565,겨울
29,이호동,338,126357957,373840.1094674556,겨울
42,효돈동,23,8319660,361724.347826087,겨울
7,도두동,785,271435563,345777.78726114647,겨울
24,용담1동,455,138726000,304892.3076923077,겨울
27,이도1동,4497,1246281319,277136.1616633311,겨울
11,삼도2동,8424,2147109451,254880.03929249762,겨울
37,추자면,228,54929110,240917.14912280702,겨울
19,연동,26161,6289686599,240422.2544627499,겨울
34,중문동,5574,1234235850,221427.31431646933,겨울
3,노형동,4135,902850861,218343.61813784763,겨울
16,아라동,1513,308013094,203577.72240581625,겨울
28,이도2동,3652,722665226,197882.0443592552,겨울
22,오라동,869,168509990,193912.53164556963,겨울
35,중앙동,8992,1503005234,167149.15858540926,겨울
32,정방동,8992,1503005234,167149.15858540926,겨울
12,삼양동,329,54676035,166188.55623100305,겨울
