,년월,읍면동명,이용자수,이용금액,총 유동인구,업종명
46,2019-02-01,대륜동,1319,179161371,29712708.16,숙박업
4,2019-01-01,대륜동,24068,864156696,100833112.91999999,식음료
434,2019-11-01,대륜동,3780,229426240,62474207.8,소매업
461,2019-12-01,대륜동,6,3660000,16212870.34,문화레저
4,2019-01-01,대륜동,15,2554000,16805518.82,쇼핑
176,2019-05-01,대륜동,26918,949586139,100843482.36,식음료
470,2019-12-01,대륜동,1745,285650042,32425740.68,숙박업
90,2019-03-01,대륜동,4140,301678747,64437610.28,소매업
90,2019-03-01,대륜동,24719,858410197,96656415.41999999,식음료
4,2019-01-01,대륜동,8,680000,16805518.82,문화레저
297,2019-08-01,대륜동,28,15479000,34513684.26,문화레저
80,2019-03-01,대륜동,26,2968000,16109402.57,쇼핑
384,2019-10-01,대륜동,1607,322887611,33162143.44,숙박업
348,2019-09-01,대륜동,25351,778097279,90308278.26000002,식음료
130,2019-04-01,대륜동,10,546800,31984254.46,문화레저
267,2019-08-01,대륜동,13,1532000,17256842.13,쇼핑
434,2019-11-01,대륜동,26001,887774457,93711311.7,식음료
118,2019-04-01,대륜동,49,9061000,15992127.23,쇼핑
262,2019-07-01,대륜동,30859,987937868,99752643.41999999,식음료
391,2019-10-01,대륜동,27605,908386317,99486430.32000001,식음료
88,2019-03-01,대륜동,6,360000,16109402.57,문화레저
255,2019-07-01,대륜동,16,1282500,33250881.14,문화레저
46,2019-02-01,대륜동,12,770000,14856354.08,문화레저
305,2019-08-01,대륜동,34281,1081273290,103541052.77999999,식음료
477,2019-12-01,대륜동,27406,949571399,97277222.04,식음료
174,2019-05-01,대륜동,1352,195564405,33614494.12,숙박업
304,2019-09-01,대륜동,6,1589000,15051379.71,쇼핑
155,2019-05-01,대륜동,52,9032000,16807247.06,쇼핑
214,2019-06-01,대륜동,9,1212000,30872549.88,문화레저
342,2019-09-01,대륜동,1385,226825054,30102759.42,숙박업
193,2019-06-01,대륜동,68,10278000,15436274.94,쇼핑
300,2019-08-01,대륜동,2025,345007526,34513684.26,숙박업
340,2019-10-01,대륜동,15,2864000,16581071.72,쇼핑
258,2019-07-01,대륜동,1518,226038461,33250881.14,숙박업
88,2019-03-01,대륜동,1390,197332749,32218805.14,숙박업
131,2019-04-01,대륜동,1359,204668334,31984254.46,숙박업
