,읍면동명,방문인구,이용자수,이용금액,1인당이용금액,업종
36,표선면,524847.978,89376,3056301600,34195.998925886146,쇼핑
35,표선면,524847.978,5204256,1466319968000,281754.00441484817,소매
36,표선면,524847.978,107664,7564932720,70264.2732946946,음식
34,표선면,417231.159,15984,1786137264,111745.32432432432,숙박
34,한림읍,1012208.743,160512,3236640011584,20164473.756379586,문화레저
37,한림읍,1012208.743,242856,8953496880,36867.51358829924,쇼핑
36,한림읍,915975.878,105720,21563005200,203963.3484676504,소매
37,한림읍,1012208.743,337752,13874992800,41080.41640019896,음식
35,한림읍,1012208.743,174816,6987893809680,39972850.36655684,숙박
38,화북동,29503.825000000004,5603,323615000,57757.45136534,음식
37,화북동,20578.718,1464,75840000,51803.27868852459,소매
38,화북동,71795.80600000001,132773,3069767740,23120.42162186589,쇼핑
39,효돈동,25517.742,8580,280221600,32659.86013986014,음식
38,효돈동,8463.893,2187,29328000,13410.150891632373,소매
39,효돈동,34715.023,10179,185720350,18245.441595441596,쇼핑
